Width (m),Length (m),Wing Angle (degrees),Downforce (N),Speed (m/s),Cd_downforce,Cd_drag
1.4363502971184063,0.2065178865103171,-1.684549794158908,57.10809072929492,10.0,1.0,0.3
2.87678576602479,0.1103647073644853,-8.938711845047212,5.620414383840382,10.0,1.0,0.3
2.3299848545285125,0.1673208556387841,-2.7425825964081074,71.88893678297903,10.0,1.0,0.3
1.9966462104925915,0.1268829353877948,13.321662438787689,54.412964873192685,10.0,1.0,0.3
0.8900466011060912,0.1126749940945535,6.856982023699917,11.62478896468233,10.0,1.0,0.3
0.8899863008405067,0.297992046477989,25.706868443079,97.79304622487588,10.0,1.0,0.3
0.6452090304204987,0.1644707689949446,22.69774246953764,48.29478304073403,10.0,1.0,0.3
2.665440364437338,0.2619748891709269,3.672694067915039,275.701646959687,10.0,1.0,0.3
2.002787529358022,0.1509281309527527,0.3769373372517002,40.65101861641846,10.0,1.0,0.3
2.2701814444901136,0.2363005444447858,5.187696326690677,5.058233832678548,10.0,1.0,0.3
0.5514612357395061,0.2520455719779373,13.611797700592309,66.72868646131356,10.0,1.0,0.3
2.9247746304049858,0.2191277481215688,0.7225456329150504,174.6316942732829,10.0,1.0,0.3
2.5811066020010545,0.1943152377100316,14.96595631396536,4.518774370928703,10.0,1.0,0.3
1.0308477766956905,0.1823681828294537,6.376466087649618,105.57541977265308,10.0,1.0,0.3
0.9545624180177515,0.169773653308599,12.081887234079211,76.6919058891352,10.0,1.0,0.3
0.9585112746335844,0.2859058288495651,7.4450611654126675,45.36181459325181,10.0,1.0,0.3
1.2606056073988443,0.2661238815575458,1.778630381676706,59.83714578645315,10.0,1.0,0.3
1.8118910790805949,0.2930053821333025,27.938132278486265,38.75694216539874,10.0,1.0,0.3
1.5798625466052894,0.1248594446971089,20.544231766390432,0.6455751844147725,10.0,1.0,0.3
1.2280728504951048,0.2461734950407288,-4.395472969341898,17.043113615346066,10.0,1.0,0.3
2.0296322368059485,0.2876680913642075,24.73871903591651,202.6744454769632,10.0,1.0,0.3
0.8487346516301046,0.136246613233132,9.497247929980546,0.1156088557132724,10.0,1.0,0.3
1.2303616213380453,0.1132992534733555,25.782089075763658,10.078911882010448,10.0,1.0,0.3
1.4159046082342293,0.2482241298580118,21.99421023789261,27.631060143118823,10.0,1.0,0.3
